scenario,horizon_years,fold,model,candidate,validation_brier
null_alpha,3,1,profitability_logit,C=0.01,0.0178351561954075
null_alpha,3,1,profitability_logit,C=0.1,0.0178511232388844
null_alpha,3,1,profitability_logit,C=1,0.0178562207409104
null_alpha,3,1,profitability_logit,C=10,0.0178568279818754
null_alpha,3,1,distress_logit,C=0.01,0.0178348117264177
null_alpha,3,1,distress_logit,C=0.1,0.0178750174830271
null_alpha,3,1,distress_logit,C=1,0.0178938590406205
null_alpha,3,1,distress_logit,C=10,0.0178977452617373
null_alpha,3,1,industry_rate,sic2_smoothed_rate,0.0179421960135077
null_alpha,3,1,occupied_cell_rate,training_tertile_729_cell_rate,0.0179217757341999
null_alpha,3,1,relative_axes_logit,C=0.01,0.0178298824310474
null_alpha,3,1,relative_axes_logit,C=0.1,0.0178400002661856
null_alpha,3,1,relative_axes_logit,C=1,0.0178428610236877
null_alpha,3,1,relative_axes_logit,C=10,0.0178431946308494
null_alpha,3,1,combined_axes_logit,C=0.01,0.0178317050702823
null_alpha,3,1,combined_axes_logit,C=0.1,0.0178370612835422
null_alpha,3,1,combined_axes_logit,C=1,0.0178411354374333
null_alpha,3,1,combined_axes_logit,C=10,0.0178431581435132
null_alpha,3,1,hist_gradient_boosting,fixed_constrained_tree,0.0181379421737481
null_alpha,3,2,profitability_logit,C=0.01,0.018859967572788
null_alpha,3,2,profitability_logit,C=0.1,0.0188595969363359
null_alpha,3,2,profitability_logit,C=1,0.0188597421623804
null_alpha,3,2,profitability_logit,C=10,0.0188597617611626
null_alpha,3,2,distress_logit,C=0.01,0.0188675437259872
null_alpha,3,2,distress_logit,C=0.1,0.0188888748650347
null_alpha,3,2,distress_logit,C=1,0.0188973741131051
null_alpha,3,2,distress_logit,C=10,0.0188998301258774
null_alpha,3,2,industry_rate,sic2_smoothed_rate,0.0188562397608226
null_alpha,3,2,occupied_cell_rate,training_tertile_729_cell_rate,0.0191021190695461
null_alpha,3,2,relative_axes_logit,C=0.01,0.0188692355423849
null_alpha,3,2,relative_axes_logit,C=0.1,0.0188825801451506
null_alpha,3,2,relative_axes_logit,C=1,0.0188866256231355
null_alpha,3,2,relative_axes_logit,C=10,0.0188872765446571
null_alpha,3,2,combined_axes_logit,C=0.01,0.0188771619909026
null_alpha,3,2,combined_axes_logit,C=0.1,0.0188897374753307
null_alpha,3,2,combined_axes_logit,C=1,0.0188886023147654
null_alpha,3,2,combined_axes_logit,C=10,0.0188877620837214
null_alpha,3,2,hist_gradient_boosting,fixed_constrained_tree,0.0190512498914498
null_alpha,3,3,profitability_logit,C=0.01,0.0208297870113353
null_alpha,3,3,profitability_logit,C=0.1,0.0208207929596994
null_alpha,3,3,profitability_logit,C=1,0.020819592318109
null_alpha,3,3,profitability_logit,C=10,0.0208194707986452
null_alpha,3,3,distress_logit,C=0.01,0.0208328167609465
null_alpha,3,3,distress_logit,C=0.1,0.0208268708596192
null_alpha,3,3,distress_logit,C=1,0.0208262973710823
null_alpha,3,3,distress_logit,C=10,0.0208262410927536
null_alpha,3,3,industry_rate,sic2_smoothed_rate,0.0209478471488276
null_alpha,3,3,occupied_cell_rate,training_tertile_729_cell_rate,0.0210115361048111
null_alpha,3,3,relative_axes_logit,C=0.01,0.0208763024199516
null_alpha,3,3,relative_axes_logit,C=0.1,0.0208882292040917
null_alpha,3,3,relative_axes_logit,C=1,0.0208902883296427
null_alpha,3,3,relative_axes_logit,C=10,0.0208905083441022
null_alpha,3,3,combined_axes_logit,C=0.01,0.020891753673019
null_alpha,3,3,combined_axes_logit,C=0.1,0.0209040081955242
null_alpha,3,3,combined_axes_logit,C=1,0.020904779408982
null_alpha,3,3,combined_axes_logit,C=10,0.0209062724537848
null_alpha,3,3,hist_gradient_boosting,fixed_constrained_tree,0.020878315425306
null_alpha,3,4,profitability_logit,C=0.01,0.021098413754059
null_alpha,3,4,profitability_logit,C=0.1,0.0210995890339532
null_alpha,3,4,profitability_logit,C=1,0.021099776246988
null_alpha,3,4,profitability_logit,C=10,0.02109979605712
null_alpha,3,4,distress_logit,C=0.01,0.0210924752559164
null_alpha,3,4,distress_logit,C=0.1,0.0210928787753963
null_alpha,3,4,distress_logit,C=1,0.0210929922436245
null_alpha,3,4,distress_logit,C=10,0.0210930046700831
null_alpha,3,4,industry_rate,sic2_smoothed_rate,0.0211347309934578
null_alpha,3,4,occupied_cell_rate,training_tertile_729_cell_rate,0.0212468239864352
null_alpha,3,4,relative_axes_logit,C=0.01,0.0211011548914381
null_alpha,3,4,relative_axes_logit,C=0.1,0.0211003757995601
null_alpha,3,4,relative_axes_logit,C=1,0.0211002898044615
null_alpha,3,4,relative_axes_logit,C=10,0.0211002813297931
null_alpha,3,4,combined_axes_logit,C=0.01,0.021099746565653
null_alpha,3,4,combined_axes_logit,C=0.1,0.021097226537162
null_alpha,3,4,combined_axes_logit,C=1,0.021095706331189
null_alpha,3,4,combined_axes_logit,C=10,0.0210987471246768
null_alpha,3,4,hist_gradient_boosting,fixed_constrained_tree,0.0211109297847521
null_alpha,5,1,profitability_logit,C=0.01,0.0271098770525944
null_alpha,5,1,profitability_logit,C=0.1,0.0271762969193686
null_alpha,5,1,profitability_logit,C=1,0.0271926372323976
null_alpha,5,1,profitability_logit,C=10,0.0271944366907435
null_alpha,5,1,distress_logit,C=0.01,0.0270587719803547
null_alpha,5,1,distress_logit,C=0.1,0.0270820056923323
null_alpha,5,1,distress_logit,C=1,0.0270958418396884
null_alpha,5,1,distress_logit,C=10,0.0270987452866482
null_alpha,5,1,industry_rate,sic2_smoothed_rate,0.0277292519635024
null_alpha,5,1,occupied_cell_rate,training_tertile_729_cell_rate,0.0272591252559873
null_alpha,5,1,relative_axes_logit,C=0.01,0.0270913467423945
null_alpha,5,1,relative_axes_logit,C=0.1,0.0271645011828551
null_alpha,5,1,relative_axes_logit,C=1,0.0271870013805625
null_alpha,5,1,relative_axes_logit,C=10,0.0271899450424167
null_alpha,5,1,combined_axes_logit,C=0.01,0.027099400233642
null_alpha,5,1,combined_axes_logit,C=0.1,0.027160179119632
null_alpha,5,1,combined_axes_logit,C=1,0.0272082066114108
null_alpha,5,1,combined_axes_logit,C=10,0.0272269525475209
null_alpha,5,1,hist_gradient_boosting,fixed_constrained_tree,0.027965823135503
null_alpha,5,2,profitability_logit,C=0.01,0.0322241402446086
null_alpha,5,2,profitability_logit,C=0.1,0.0322441354750299
null_alpha,5,2,profitability_logit,C=1,0.0322486792870389
null_alpha,5,2,profitability_logit,C=10,0.0322491851976724
null_alpha,5,2,distress_logit,C=0.01,0.0322957750997942
null_alpha,5,2,distress_logit,C=0.1,0.0324431113098065
null_alpha,5,2,distress_logit,C=1,0.0324764231496353
null_alpha,5,2,distress_logit,C=10,0.0324805270491055
null_alpha,5,2,industry_rate,sic2_smoothed_rate,0.0322814344573963
null_alpha,5,2,occupied_cell_rate,training_tertile_729_cell_rate,0.0324552212110806
null_alpha,5,2,relative_axes_logit,C=0.01,0.0322449772427685
null_alpha,5,2,relative_axes_logit,C=0.1,0.0322821306045462
null_alpha,5,2,relative_axes_logit,C=1,0.0322908189427562
null_alpha,5,2,relative_axes_logit,C=10,0.0322918142101871
null_alpha,5,2,combined_axes_logit,C=0.01,0.0322464545997396
null_alpha,5,2,combined_axes_logit,C=0.1,0.0322810545377406
null_alpha,5,2,combined_axes_logit,C=1,0.0323117389316073
null_alpha,5,2,combined_axes_logit,C=10,0.0323239578905235
null_alpha,5,2,hist_gradient_boosting,fixed_constrained_tree,0.0333152208627343
null_alpha,5,3,profitability_logit,C=0.01,0.0333420226849001
null_alpha,5,3,profitability_logit,C=0.1,0.0333222269692373
null_alpha,5,3,profitability_logit,C=1,0.0333197659688922
null_alpha,5,3,profitability_logit,C=10,0.0333195169439192
null_alpha,5,3,distress_logit,C=0.01,0.0333612824982344
null_alpha,5,3,distress_logit,C=0.1,0.0333625377817518
null_alpha,5,3,distress_logit,C=1,0.0333607093190401
null_alpha,5,3,distress_logit,C=10,0.0333605596923449
null_alpha,5,3,industry_rate,sic2_smoothed_rate,0.0335707150999601
null_alpha,5,3,occupied_cell_rate,training_tertile_729_cell_rate,0.033707437011586
null_alpha,5,3,relative_axes_logit,C=0.01,0.0334692579970124
null_alpha,5,3,relative_axes_logit,C=0.1,0.0335101143936289
null_alpha,5,3,relative_axes_logit,C=1,0.0335171720589536
null_alpha,5,3,relative_axes_logit,C=10,0.033517930144386
null_alpha,5,3,combined_axes_logit,C=0.01,0.0335016804668462
null_alpha,5,3,combined_axes_logit,C=0.1,0.0334998968211094
null_alpha,5,3,combined_axes_logit,C=1,0.0335073682074145
null_alpha,5,3,combined_axes_logit,C=10,0.0335084263487543
null_alpha,5,3,hist_gradient_boosting,fixed_constrained_tree,0.0338926192088723
null_alpha,5,4,profitability_logit,C=0.01,0.0343789498181577
null_alpha,5,4,profitability_logit,C=0.1,0.034370031287609
null_alpha,5,4,profitability_logit,C=1,0.0343690303084162
null_alpha,5,4,profitability_logit,C=10,0.0343689294501688
null_alpha,5,4,distress_logit,C=0.01,0.0343478369872516
null_alpha,5,4,distress_logit,C=0.1,0.0343452811845923
null_alpha,5,4,distress_logit,C=1,0.0343493535481079
null_alpha,5,4,distress_logit,C=10,0.0343501192292778
null_alpha,5,4,industry_rate,sic2_smoothed_rate,0.0346266190036512
null_alpha,5,4,occupied_cell_rate,training_tertile_729_cell_rate,0.0346608785367982
null_alpha,5,4,relative_axes_logit,C=0.01,0.0344839131851344
null_alpha,5,4,relative_axes_logit,C=0.1,0.0345042812887133
null_alpha,5,4,relative_axes_logit,C=1,0.0345071781145207
null_alpha,5,4,relative_axes_logit,C=10,0.0345074785792784
null_alpha,5,4,combined_axes_logit,C=0.01,0.0344946394890029
null_alpha,5,4,combined_axes_logit,C=0.1,0.0345249418290686
null_alpha,5,4,combined_axes_logit,C=1,0.0345457412621774
null_alpha,5,4,combined_axes_logit,C=10,0.034547566853142
null_alpha,5,4,hist_gradient_boosting,fixed_constrained_tree,0.034532385105741
migration_alpha,3,1,profitability_logit,C=0.01,0.0206269534590942
migration_alpha,3,1,profitability_logit,C=0.1,0.0205991788539779
migration_alpha,3,1,profitability_logit,C=1,0.0205944175770458
migration_alpha,3,1,profitability_logit,C=10,0.0205939100743672
migration_alpha,3,1,distress_logit,C=0.01,0.0206612966351045
migration_alpha,3,1,distress_logit,C=0.1,0.020677413957709
migration_alpha,3,1,distress_logit,C=1,0.0206803217824524
migration_alpha,3,1,distress_logit,C=10,0.0206814060685644
migration_alpha,3,1,industry_rate,sic2_smoothed_rate,0.0209575413108123
migration_alpha,3,1,occupied_cell_rate,training_tertile_729_cell_rate,0.0208531811931205
migration_alpha,3,1,relative_axes_logit,C=0.01,0.0207109173114017
migration_alpha,3,1,relative_axes_logit,C=0.1,0.0207932217484634
migration_alpha,3,1,relative_axes_logit,C=1,0.0208129080359854
migration_alpha,3,1,relative_axes_logit,C=10,0.020815247240025
migration_alpha,3,1,combined_axes_logit,C=0.01,0.0206959611844747
migration_alpha,3,1,combined_axes_logit,C=0.1,0.0207828730393287
migration_alpha,3,1,combined_axes_logit,C=1,0.0208577755521868
migration_alpha,3,1,combined_axes_logit,C=10,0.0208770460518824
migration_alpha,3,1,hist_gradient_boosting,fixed_constrained_tree,0.0217605603770821
migration_alpha,3,2,profitability_logit,C=0.01,0.0205812722622858
migration_alpha,3,2,profitability_logit,C=0.1,0.0205715632311127
migration_alpha,3,2,profitability_logit,C=1,0.0205705162003587
migration_alpha,3,2,profitability_logit,C=10,0.0205704132890324
migration_alpha,3,2,distress_logit,C=0.01,0.0206138198641249
migration_alpha,3,2,distress_logit,C=0.1,0.0206130503734806
migration_alpha,3,2,distress_logit,C=1,0.0206253016848163
migration_alpha,3,2,distress_logit,C=10,0.0206290494663578
migration_alpha,3,2,industry_rate,sic2_smoothed_rate,0.0207215433018825
migration_alpha,3,2,occupied_cell_rate,training_tertile_729_cell_rate,0.0207834548946132
migration_alpha,3,2,relative_axes_logit,C=0.01,0.0205621956040822
migration_alpha,3,2,relative_axes_logit,C=0.1,0.02054505824875
migration_alpha,3,2,relative_axes_logit,C=1,0.0205427845991404
migration_alpha,3,2,relative_axes_logit,C=10,0.0205425650082548
migration_alpha,3,2,combined_axes_logit,C=0.01,0.020556017826747
migration_alpha,3,2,combined_axes_logit,C=0.1,0.0205397371217506
migration_alpha,3,2,combined_axes_logit,C=1,0.020536513640582
migration_alpha,3,2,combined_axes_logit,C=10,0.0205363574623124
migration_alpha,3,2,hist_gradient_boosting,fixed_constrained_tree,0.0210084431890694
migration_alpha,3,3,profitability_logit,C=0.01,0.0204002478520093
migration_alpha,3,3,profitability_logit,C=0.1,0.0204126436626641
migration_alpha,3,3,profitability_logit,C=1,0.0204146910904357
migration_alpha,3,3,profitability_logit,C=10,0.0204149096138566
migration_alpha,3,3,distress_logit,C=0.01,0.0203971899260685
migration_alpha,3,3,distress_logit,C=0.1,0.0204204186494403
migration_alpha,3,3,distress_logit,C=1,0.0204262390877035
migration_alpha,3,3,distress_logit,C=10,0.0204274392561483
migration_alpha,3,3,industry_rate,sic2_smoothed_rate,0.020448456849842
migration_alpha,3,3,occupied_cell_rate,training_tertile_729_cell_rate,0.0206190619400862
migration_alpha,3,3,relative_axes_logit,C=0.01,0.0204172356568471
migration_alpha,3,3,relative_axes_logit,C=0.1,0.0204510449904072
migration_alpha,3,3,relative_axes_logit,C=1,0.0204574441140123
migration_alpha,3,3,relative_axes_logit,C=10,0.0204581457744323
migration_alpha,3,3,combined_axes_logit,C=0.01,0.0204287522293769
migration_alpha,3,3,combined_axes_logit,C=0.1,0.0204514348599577
migration_alpha,3,3,combined_axes_logit,C=1,0.0204572220008552
migration_alpha,3,3,combined_axes_logit,C=10,0.0204578972404021
migration_alpha,3,3,hist_gradient_boosting,fixed_constrained_tree,0.0204638105990577
migration_alpha,3,4,profitability_logit,C=0.01,0.022145808812366
migration_alpha,3,4,profitability_logit,C=0.1,0.0221376064087097
migration_alpha,3,4,profitability_logit,C=1,0.0221367161807742
migration_alpha,3,4,profitability_logit,C=10,0.0221366267509986
migration_alpha,3,4,distress_logit,C=0.01,0.0221455851206964
migration_alpha,3,4,distress_logit,C=0.1,0.0221440664782788
migration_alpha,3,4,distress_logit,C=1,0.0221455900019246
migration_alpha,3,4,distress_logit,C=10,0.0221459438012081
migration_alpha,3,4,industry_rate,sic2_smoothed_rate,0.0222501923760689
migration_alpha,3,4,occupied_cell_rate,training_tertile_729_cell_rate,0.0223413718212845
migration_alpha,3,4,relative_axes_logit,C=0.01,0.0221525164926216
migration_alpha,3,4,relative_axes_logit,C=0.1,0.0221464129629739
migration_alpha,3,4,relative_axes_logit,C=1,0.0221460953575294
migration_alpha,3,4,relative_axes_logit,C=10,0.0221460939760199
migration_alpha,3,4,combined_axes_logit,C=0.01,0.022158557333758
migration_alpha,3,4,combined_axes_logit,C=0.1,0.0221804234770803
migration_alpha,3,4,combined_axes_logit,C=1,0.0221964930868085
migration_alpha,3,4,combined_axes_logit,C=10,0.0221972605430944
migration_alpha,3,4,hist_gradient_boosting,fixed_constrained_tree,0.0222863546958034
migration_alpha,5,1,profitability_logit,C=0.01,0.0346313256385492
